address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Gröna gatan 32,Lägenhet,Majorna,Göteborgs kommun,67.4,2.0,4844.0,2510000,2022-09-01,7.0,37240.0,0.0,0.0,57.6912297,11.9165987
Växelmyntsgatan 53B,Radhus,Högsbohöjd,Göteborgs kommun,96.0,,,4450000,2022-09-01,-2.0,46354.0,249.1,0.0,57.6705032,11.9158638
Noleredsvägen 9A,Lägenhet,Torslanda,Göteborgs kommun,58.5,2.0,3449.0,2300000,2022-09-01,-3.0,39316.0,0.0,0.0,57.7229731,11.7637985
Granitvägen 3,Villa,Askim,Göteborgs kommun,172.0,7.0,,7995000,2022-09-01,0.0,46483.0,747.0,48.0,57.631021450000006,11.947517999999995
Räntmästaregatan 28B,Lägenhet,Lunden,Göteborgs kommun,51.0,2.0,3828.0,2950000,2022-09-01,6.0,57843.0,0.0,0.0,57.7119748,12.0126047
Sjöbackevägen 14,Lägenhet,Billda,Göteborgs kommun,70.0,3.0,3852.0,3600000,2022-09-01,3.0,51429.0,0.0,0.0,57.5677449,11.9403751
Aschebergsgatan 7B,Lägenhet,Vasastaden,Göteborgs kommun,35.0,1.0,2287.0,3250000,2022-09-01,9.0,92857.0,0.0,0.0,57.6913601,11.9737814
Brynolfsgatan 1 B,Lägenhet,Fredriksdal,Göteborgs kommun,67.5,3.0,4132.0,3000000,2022-09-01,-8.0,44444.0,0.0,0.0,57.6815567,11.9982871
Norra Breviksvägen 82,Villa,Näset,Göteborgs kommun,121.0,5.0,,8350000,2022-09-01,-6.0,69008.0,1001.6,0.0,57.620381550000005,11.888126704940287
Skogsmilsgatan 9,Lägenhet,Högsbo,Göteborgs kommun,39.0,2.0,2985.0,1850000,2022-09-01,12.0,47436.0,0.0,0.0,57.6666675,11.9273657
Gamlestadstorget 17,Lägenhet,Gamlestaden,Göteborgs kommun,58.2,2.0,4102.0,2430000,2022-09-01,8.0,41753.0,0.0,0.0,57.7301333,12.0084972
Lotta Svärdsgatan 4 B,Lägenhet,Bellevue,Göteborgs kommun,34.5,1.0,2805.0,1550000,2022-09-01,4.0,44928.0,0.0,0.0,57.7339899,12.0196621
Allmänna vägen 7,Lägenhet,Majorna,Göteborgs kommun,86.0,3.0,4571.0,4250000,2022-09-01,4.0,49419.0,0.0,0.0,57.6981271,11.9321929
Fritiof Anderssons Gata 3,Lägenhet,Eriksberg,Göteborgs kommun,87.0,3.0,4395.0,6160000,2022-09-01,3.0,70805.0,0.0,0.0,57.6997028,11.9058828
Övralidsgatan 23,Lägenhet,Hisings Backa,Göteborgs kommun,60.0,2.0,4437.0,1440000,2022-09-01,-4.0,24000.0,0.0,0.0,57.7543682,11.975449
Slottsskogsgatan 69,Lägenhet,Majorna,Göteborgs kommun,61.0,2.0,3037.0,3700000,2022-09-01,6.0,60656.0,0.0,0.0,57.6855306,11.9277299
Arvid Lindmansgatan 25D,Lägenhet,Centrala Hisingen,Göteborgs kommun,63.0,3.0,3736.0,2625000,2022-09-01,1.0,41667.0,0.0,0.0,57.7308957,11.9217017
Myntgatan 15 A,Lägenhet,Brämaregården,Göteborgs kommun,72.0,3.0,4437.0,2880000,2022-09-01,-1.0,40000.0,0.0,0.0,57.7144407,11.9445357
