address,housing_type,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude,post_code,region
Hjalmar Brantingsgatan 19B,Lägenhet,Göteborgs kommun,64.9,3.0,3926.0,2200000.0,2022-09-02,-4.0,33898.0,0.0,0.0,57.720352,11.9557188, 417 08,Lindholmen
Hjalmar Brantingsgatan 21C,Lägenhet,Göteborgs kommun,74.0,3.0,3836.0,2900000.0,2022-02-25,8.0,39189.0,0.0,,57.720352,11.9557188, 417 08,Lindholmen
Örnehufvudsgatan 3,Lägenhet,Göteborgs kommun,40.0,2.0,2635.0,2800000.0,2022-09-15,0.0,70000.0,0.0,0.0,57.6882795,11.9841601, 412 60,Johanneberg
Rydholmsgatan 38,Villa,Göteborgs kommun,136.0,6.0,,7800000.0,2022-09-15,7.0,57353.0,513.4,108.0,57.7113095,11.8983155, 418 77,Kyrkbyn
Karl Gustavsgatan 7B,Lägenhet,Göteborgs kommun,73.0,2.0,4592.0,5250000.0,2022-09-14,6.0,71918.0,0.0,0.0,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 11B,Lägenhet,Göteborgs kommun,56.0,2.0,2921.0,4700000.0,2022-06-08,7.0,83929.0,0.0,0.0,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 20B,Lägenhet,Göteborgs kommun,32.0,1.0,1263.0,2950000.0,2022-06-07,18.0,92188.0,0.0,0.0,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 7B,Lägenhet,Göteborgs kommun,71.0,2.0,4466.0,5000000.0,2022-06-01,7.0,70423.0,0.0,0.0,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 7B,Lägenhet,Göteborgs kommun,55.0,2.0,3083.0,4375000.0,2022-06-01,4.0,79545.0,0.0,0.0,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 18A,Lägenhet,Göteborgs kommun,89.0,3.0,5100.0,5400000.0,2022-04-13,1.0,60674.0,0.0,,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 24B,Lägenhet,Göteborgs kommun,68.0,2.0,3647.0,5515000.0,2022-04-01,11.0,81103.0,0.0,,57.6954905,11.9684199, 411 31,Vasastaden
Karl Gustavsgatan 33,Lägenhet,Göteborgs kommun,66.0,2.0,4623.0,3900000.0,2022-02-08,9.0,59091.0,0.0,,57.6954905,11.9684199, 411 31,Vasastaden
Duettgången 13,Fritidshus,Göteborgs kommun,35.0,3.0,,775000.0,2022-09-15,0.0,22143.0,200.0,0.0,57.8222207,11.8994334, 423 70,Säve
Tornväktaregatan 12B,Radhus,Göteborgs kommun,97.0,6.0,,4500000.0,2022-09-14,6.0,46392.0,138.0,0.0,57.7437102,12.0523768, 415 06,Utby
Tornväktaregatan 14D,Villa,Göteborgs kommun,98.0,4.0,,4530000.0,2022-04-21,7.0,46224.0,0.0,0.0,57.7437102,12.0523768, 415 06,Utby
Tornväktaregatan 4E,Radhus,Göteborgs kommun,97.0,4.0,,4660000.0,2022-04-14,5.0,48041.0,0.0,0.0,57.7437102,12.0523768, 415 06,Utby
Tornväktaregatan 6B,Radhus,Göteborgs kommun,98.5,5.0,,5150000.0,2022-03-29,24.0,52284.0,0.0,0.0,57.7437102,12.0523768, 415 06,Utby
Tornväktaregatan 26C,Villa,Göteborgs kommun,97.0,4.0,,5600000.0,2022-02-24,17.0,57732.0,0.0,27.0,57.7437102,12.0523768, 415 06,Utby
Soprangatan 3,Lägenhet,Göteborgs kommun,75.4,3.0,4640.0,2200000.0,2022-09-14,-2.0,29178.0,0.0,0.0,57.6644294,11.9202454, 421 39,Kaverös
Hjalmar Selandersgatan 3E,Lägenhet,Göteborgs kommun,48.0,2.0,3245.0,2350000.0,2022-09-14,3.0,48958.0,0.0,0.0,57.7215244,12.0329386, 416 74,Kålltorp
Götaholmsgatan 12,Lägenhet,Göteborgs kommun,50.0,1.0,3763.0,2065000.0,2022-09-14,4.0,41300.0,0.0,0.0,57.7300559,12.0099546, 415 03,Gamlestaden
Munkebäcksgatan 35D,Lägenhet,Göteborgs kommun,53.3,2.0,3158.0,3160000.0,2022-09-14,9.0,59287.0,0.0,0.0,57.7154579,12.0244774, 416 52,Härlanda
Fullmånegatan 4,Lägenhet,Göteborgs kommun,92.5,4.0,5828.0,3100000.0,2022-09-14,17.0,33514.0,0.0,0.0,57.745591,12.0246442, 415 09,Södra Kortedala
Fullmånegatan 16,Lägenhet,Göteborgs kommun,90.0,4.0,5690.0,3400000.0,2022-02-28,21.0,37778.0,0.0,,57.745591,12.0246442, 415 09,Södra Kortedala
Önneredsvägen 118,Lägenhet,Göteborgs kommun,112.0,4.0,5341.0,6200000.0,2022-09-14,-2.0,55357.0,0.0,0.0,57.6376802,11.8805324, 421 57,Önnered
Önneredsvägen 118,Lägenhet,Göteborgs kommun,52.0,2.0,3209.0,3300000.0,2022-08-17,-3.0,63462.0,0.0,0.0,57.6376802,11.8805324, 421 57,Önnered
Önneredsvägen 118,Lägenhet,Göteborgs kommun,101.0,4.0,5010.0,5500000.0,2022-05-18,0.0,54455.0,0.0,0.0,57.6376802,11.8805324, 421 57,Önnered
Önneredsvägen 112,Lägenhet,Göteborgs kommun,89.0,4.0,4650.0,5725000.0,2022-04-22,10.0,64326.0,0.0,,57.6376802,11.8805324, 421 57,Önnered
Önneredsvägen 118,Lägenhet,Göteborgs kommun,112.0,4.0,5340.0,6700000.0,2022-04-19,7.0,59821.0,0.0,,57.6376802,11.8805324, 421 57,Önnered
Önneredsvägen 106,Lägenhet,Göteborgs kommun,84.0,4.0,4500.0,4475000.0,2022-02-08,0.0,53274.0,0.0,,57.6376802,11.8805324, 421 57,Önnered
Teleskopgatan 18,Lägenhet,Göteborgs kommun,77.0,3.0,6415.0,1095000.0,2022-09-14,0.0,14221.0,0.0,0.0,57.75967465,12.061126548779685, 415 57,Västra Bergsjön
Teleskopgatan 18,Lägenhet,Göteborgs kommun,77.5,3.0,6379.0,1250000.0,2022-07-04,-3.0,16129.0,0.0,0.0,57.75967465,12.061126548779685, 415 57,Västra Bergsjön
Teleskopgatan 18,Lägenhet,Göteborgs kommun,72.5,3.0,6130.0,1300000.0,2022-02-23,-6.0,17931.0,0.0,,57.75967465,12.061126548779685, 415 57,Västra Bergsjön
