address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq
Toleredsgatan 9A,Lägenhet,Tolered,Göteborgs kommun,67.5,3.0,3985.0,1800000.0,2022-11-04,-10.0,26667.0,0.0,0.0
Smörgatan 25,Lägenhet,Kallebäck,Göteborgs kommun,106.0,5.0,5947.0,4487000.0,2022-11-03,-4.0,42330.0,0.0,0.0
Arvid Lindmansgatan 17B,Lägenhet,Tolered,Göteborgs kommun,63.0,3.0,3721.0,1900000.0,2022-11-01,-5.0,30159.0,0.0,0.0
Sylvestergatan 5,Lägenhet,Nedre Johanneberg,Göteborgs kommun,73.0,2.5,3361.0,5250000.0,2022-11-01,3.0,71918.0,0.0,0.0
Barrskogsgatan 9C,Lägenhet,Örgryte,Göteborgs kommun,64.0,2.0,3575.0,2400000.0,2022-10-31,-4.0,37500.0,0.0,0.0
Hjällbogärdet 46,Lägenhet,Angered,Göteborgs kommun,70.0,3.0,4960.0,1260000.0,2022-10-29,0.0,18000.0,0.0,0.0
Guldringen 11,Lägenhet,Tynnered,Göteborgs kommun,64.0,2.0,4506.0,1550000.0,2022-11-03,3.0,24219.0,0.0,0.0
Fyrmästaregången 20,Lägenhet,Masthugget,Göteborgs kommun,38.5,2.0,2119.0,2200000.0,2022-11-03,-2.0,57143.0,0.0,0.0
Plantagegatan 9B,Lägenhet,Linné,Göteborgs kommun,61.7,2.0,4167.0,3200000.0,2022-11-03,-5.0,51864.0,0.0,0.0
Ringkullevägen 24,Lägenhet,Södra Skärgården - Donsö,Göteborgs kommun,34.5,1.5,2990.0,2275000.0,2022-11-03,1.0,65942.0,0.0,0.0
Fastlagsgatan 33,Lägenhet,Kortedala,Göteborgs kommun,57.5,2.0,4767.0,1270000.0,2022-11-03,6.0,22087.0,0.0,0.0
Doktor Forselius gata 32,Lägenhet,Guldheden,Göteborgs kommun,84.0,3.0,5056.0,3150000.0,2022-11-03,9.0,37500.0,0.0,0.0
Borstbindaregatan 1,Lägenhet,Kvillebäcken,Göteborgs kommun,58.5,2.0,3532.0,2760000.0,2022-11-03,3.0,47179.0,0.0,0.0
Lillgårdens Gränd 5,Lägenhet,Hovås,Göteborgs kommun,41.5,2.0,2378.0,2400000.0,2022-11-03,-14.0,57831.0,0.0,0.0
Volrat Thamsgatan 15,Lägenhet,Johanneberg,Göteborgs kommun,25.2,1.0,1777.0,2350000.0,2022-11-03,7.0,93254.0,0.0,0.0
Linnégatan 9,Lägenhet,Linnéstaden,Göteborgs kommun,78.0,3.0,0.0,6650000.0,2022-11-03,33.0,85256.0,0.0,0.0
Ingebäckslyckan 101,Lägenhet,Hisings Kärra,Göteborgs kommun,62.0,2.0,3819.0,1895000.0,2022-11-03,0.0,30565.0,0.0,0.0
Tunnbindaregatan 4A,Lägenhet,Centrala Hisingen,Göteborgs kommun,41.0,1.5,2881.0,1950000.0,2022-11-03,0.0,47561.0,0.0,0.0
Orkestergatan 13,Lägenhet,Kaverös,Göteborgs kommun,98.0,4.0,4044.0,2950000.0,2022-11-03,0.0,30102.0,0.0,0.0
Kastvindsgatan 1,Lägenhet,Göteborg,Göteborgs kommun,69.0,3.0,4716.0,2100000.0,2022-11-03,-8.0,30435.0,0.0,0.0
Sergelsgatan 2B,Lägenhet,Lunden,Göteborgs kommun,47.5,2.0,3398.0,2395000.0,2022-11-03,0.0,50421.0,0.0,0.0
Nordostpassagen 13,Lägenhet,Linné,Göteborgs kommun,58.0,1.5,2492.0,2880000.0,2022-11-02,1.0,49655.0,0.0,0.0
Olskroksgatan 19,Lägenhet,Olskroken,Göteborgs kommun,80.0,3.0,4366.0,3370000.0,2022-11-02,-8.0,42125.0,0.0,0.0
Sergelsgatan 1 B,Lägenhet,Lunden,Göteborgs kommun,43.5,2.0,3178.0,2150000.0,2022-11-02,-3.0,49425.0,0.0,0.0
Björcksgatan 56A,Lägenhet,Kålltorp,Göteborgs kommun,63.0,2.0,4350.0,2500000.0,2022-11-02,0.0,39683.0,0.0,0.0
Hälleflundregatan 44,Lägenhet,Fiskebäck,Göteborgs kommun,59.0,2.0,3943.0,3495000.0,2022-11-02,0.0,59237.0,0.0,0.0
Norra Gubberogatan 5,Lägenhet,Olskroken,Göteborgs kommun,60.0,2.0,3352.0,2900000.0,2022-11-02,-2.0,48333.0,0.0,0.0
